	0	
14827	 'Im vergangenen Jahr bekam Kaufmann unzählige Anfragen von Hilfsbedürftigen, aber: „124 Frauen konnten nicht aufgenommen werden, weil sie entweder aus anderen Bundesländern kamen, ihre Problematik nicht für ein Frauenhaus geeignet war, unser Haus voll belegt war oder in ambulanter oder telefonischer Beratung andere Lösungsmöglichkeiten erarbeitet werden konnten.“	policy advocacy
3776	['Unter all den straffällig gewordenen Footballspielern ist Reuben Foster die eierlegende Wollmilchsau. Obschon erst 24-jährig, war er schon an einer Schiesserei beteiligt und sass wegen des Besitzes von Marihuana. Er stand wegen häuslicher Gewalt vor Gericht und bedrohte einen Dopingkontrolleur. Nun wurde er verhaftet, weil er wieder seine Freundin verprügelt haben soll - in der Nacht vor einem Auswärtsspiel. Sein Team, die San Francisco 49ers, entliess ihn umgehend.	sensationalist language
12267	 'Berlin  - Im Corona-Jahr 2020 hat es bei den Berliner Strafverfolgungsbehörden deutlich mehr Verfahren wegen häuslicher Gewalt gegeben. Die Zahl stieg allein bei der Amtsanwaltschaft im Vergleich zum Vorjahr um 1035, wie Justizsenator Dirk Behrendt (Grüne) am Mittwoch sagte. Das entspreche einer Zunahme von 7,5 Prozent. Die Amtsanwaltschaft ist eine eigene Strafverfolgungsbehörde und zuständig für mittlere- und Kleinkriminalität.	
23689	 'Während die Welt mit den Auswirkungen von Covid-19 zu kämpfen hat, bedroht eine parallele und ebenso schreckliche Pandemie die Hälfte der Weltbevölkerung. In den ersten Monaten der Pandemie prognostizierten die Vereinten Nationen, dass Quarantänen und Lockdowns alle drei Monate zu schockierenden 15 Millionen zusätzlichen Fällen von geschlechtsspezifischer Gewalt führen könnten. Traurigerweise scheinen diese Vorhersagen wahr zu werden.	
3463	 'Alle diese Dinge sind unschwer der französischen Presse zu entnehmen, zum Beispiel der eigentlich Macron-freundlichen Libération. Auch die Artikel von taz-Korrespondent Rudolf Balmer sollten doch den Macron-Hype dämpfen helfen, man sollte nicht nur die EU-politischen Initiativen sehen (nebenbei: EU-Finanzminister und EU-Armee – noch mal „whow“, diese Vision ruft richtige Begeisterungsstürme der Europäer für die EU hervor!).	
13544	 'Dieser Schuss geht nach hinten los	
11180	 'Die Gewalttaten zu Hause sind während der Corona-Pandemie stark angestiegen. Darunter waren schwerste Verletzungen, oft Brüche oder Gewalt gegen den Hals.	
20588	 'Besonderes Augenmerk richten die Beraterinnen auf die Kinder. Selbst wenn sie nicht direkt misshandelt werden, sind sie häufig Zeugen der Gewalt. Rund 77 Prozent der Kinder von misshandelten Frauen werden selbst misshandelt. Aber selbst wenn sie nicht unmittelbar beteiligt sind, erleben sie diese Situationen als negative Vorbilder und es ist kein Zufall, dass aus misshandelten Kinder wieder misshandelte Erwachsene werden.	
16089	 '* Namen von der Redaktion geändert']	
8742	 'Der mutmaßliche Täter sei in der Vergangenheit wegen eines Sorgerechtsstreits um ein Kind auffällig geworden, berichtete AFP. Der verletzte Polizist wurde in ein Krankenhaus gebracht. Die Gendarmerie gehört in Frankreich zwar zum Militär, übernimmt aber Polizeiaufgaben und untersteht deshalb auch dem Innenministerium.	
199	 'Er ist Tätowierer und Bodybuilder und von beeindruckender Körpergröße. Seine Frau ist 1,50 Meter groß und wiegt 50 Kilo. Trotzdem sucht der Mann bei der Sozialberatung Stuttgart Hilfe, als ein Messer in seinem Oberschenkel steckt. Er habe versucht, seine Frau auf Distanz zu halten, erzählt er. Warum er nicht zurückgeschlagen habe? „Ich schlage keine Frauen. Mein Vater hat meine Mutter geprügelt, ich will kein so A.\u200a.\u200a. sein wie der.“ \u2009	
3799	 'Auch Frauen mit Behinderung und Flüchtlinge brauchten Zugang zur Frauenhilfeinfrastruktur, sagte die Grünen-Politikern Josefine Paul. Frauen müssten unabhängig von ihrem Aufenthaltsstatus vor Gewalt geschützt werden.']	
2111	 'Die Mitarbeiterinnen im Frauenhaus kümmern sich um ihren Sohn. Sie erledigen auch den Einkauf für Lilly, weil sie fürchtet, auf ihren Ex-Freund zu treffen. Er ruft sie ständig auf dem Handy an, entschuldigt sich. Wo sie ist, verrät sie ihm nicht. Sie zeigt ihn an, zieht die Anzeige kurz danach wieder zurück - aus Angst, man könnte ihr nicht glauben.	
221	 'Bereits in der Vergangenheit haben die Berlinerinnen ihre Formate und die sozialen Medien immer wieder genutzt, um über selbst Erlebtes zu berichten und auf Themen wie sexuelle und psychische Gewalt in Beziehungen, Bodyshaming und sexualisierte Gewalt in der Rapszene aufmerksam zu machen. Sie habe in einer früheren Beziehung, die sie heute als toxisch beschreibt, „Gewalt gegen meinen Körper und gegen meine Seele“ erlebt, so Ines Anioli in einem Instagram-Post.	
17075	 '„Ein Kammerstück über mütterliche Gewalt“ heißt das Solo im Untertitel. Es spricht ein Tabuthema an, denn unser Bild der Mutter ist ein Ideal, geprägt von bedingungsloser Liebe, von Verständnis, Sanftmut, Vertrauen, Selbstaufgabe. Dem gerecht zu werden ist unmöglich – trotzdem halten wir daran fest, auch wenn es Frauen überfordert, wie die Zahlen berichten: Laut polizeilicher Kriminalstatistik treten in den dort erfassten Fällen von Kindesmisshandlung Männer und Frauen etwa gleich häufig als Täter in Erscheinung.	
19526	 'Die Kampagne richtet sich an beide Geschlechter. Die Mehrheit der Opfer von häuslicher Gewalt sind zwar Frauen. Doch in 28 Prozent der gemeldeten Fälle sind Männer betroffen.	
17124	" '22.37 Uhr: ""Wir waren nie getrennt!"", erklärt Herren und berichtet dramatisch aus ihrer Vergangenheit. Schnell wirds deutlich düsterer: ""Körperverletzungen"", ""im Zimmer eingesperrt"", ""Angriffe einer Gruppe""? Jasmin Herren erzählt, was ihr einst alles geschah, als ihr Mann für ein TV-Format im Ausland war."	
23299	 'Hinweise, dass die Gewalt in Familien während der Corona-Pandemie eskaliert ist, gibt es schon länger. Jetzt lässt sich der Anstieg an konkreten Zahlen ablesen. Laut WELT AM SONNTAG-Recherchen gab es im vergangenen Jahr rund 158.000 Opfer häuslicher Gewalt. Das entspricht einem Anstieg von etwa sechs Prozent im Vergleich zum Vorjahr.	
20248	 'Auch Franziska Giffey startete Aktion „Zuhause nicht sicher?“	
23491	 'Jede siebte Frau ist von sexualisierter Gewalt betroffen. Das heißt, jede Person kann davon ausgehen, dass sie mindestens eine Frau im unmittelbaren Umfeld hat, die schweigt.“']	
18097	" '"": Haben Sie Beispiele? Mit welchen Erfahrungen kommen Frauen zu Ihnen?"	
21853	 'Grund für eine „Verschärfung“ von häuslicher Gewalt sei der Umstand, dass nach der Schließung von Kitas und Schulen sowie weitgehenden Kontaktverboten wegen der Corona-Pandemie Familien auf sich zurückgezogen seien.	
8769	 'Andere Stellen wie die Gewaltschutzambulanz der Charité berichteten bereits im Juni von einem Anstieg von 30\xa0Prozent der registrierten häuslichen Gewaltvorfälle im Vergleich zum Vorjahresmonat. Die (angezeigten) Fälle von Kindesmisshandlungen seien im ersten Halbjahr 2020 um 20\xa0Prozent im Vergleich zum Vorjahr gestiegen. ExpertInnen warnen zudem alle Jahre wieder, dass an Feiertagen das Risiko für häusliche Gewalt – die Enge, der Alkohol, alte und neue Konflikte\xa0– zunehmen. Insofern ist Weihnachten dieses Jahr für viele Menschen doppelt gefährlich.	
14314	 'Im Frühling dieses Jahres meldete die Frau der Polizei wieder, dass ihr Mann ihr nachstelle und sie nicht in Ruhe lassen wolle. Der 37-Jährige erhielt daraufhin erneut ein Kontakt- und Rayonverbot - welches Ende Juli aber ablief. In den drei Monate davor war es zu keinen Verstössen gekommen.	
516	 'Es hat zwei Jahre gedauert. Ich habe meine Hilfe vor allem im Lesen gefunden, habe mir alles angelesen, was ich im Netz und außerhalb zum Thema finden konnte. Dadurch habe ich mich sukzessive aus der Umklammerung gelöst. Und habe dadurch festgestellt: Ich bin nicht die Einzige. Das Gefühl, alleine auf weiter Flur zu sein, war für mich während der Beziehung furchtbar lähmend und schließlich auch der Ausschlag dafür, dieses Buch zu schreiben, damit andere sich nicht so fühlen müssen.	
10664	 '„Die heutige Technologien verlangen eine Lagerung (von Impfstoff) bei minus acht Grad.“ In Afrika etwa fehle dafür wahrscheinlich die Infrastruktur. „Ich bin sicher, dass wir mit diesem Impfstoff erst in die westlichen Länder kommen“, sagte Bourla. „Aber in einer zweiten Welle arbeiten wir daran, sicherzustellen, dass wir Produkte entwickeln und herstellen können, die solche extremen Temperaturen nicht brauchen.“ Pfizer habe bislang mit keiner Regierung Verträge über die Lieferung von Impfstoff abgeschlossen, betonte er.	
19704	 'Kinderschutzorganisationen warnen deshalb seit Beginn des Lockdowns vor einem Anstieg von Gewalt gegenüber Kindern, den niemand mitbekommt. Besonders Kinder in Familien, die sich ohnehin in einer schwierigen Lage befänden, seien gefährdet, hatte vergangene Woche die Geschäftsführerin des Kinderschutzbunds in Bremen dem gesagtWeser-Kurier. Derzeit steige der Druck in diesen Familien – und damit auch die Gewalt.	
4510	 'Das Ministerium unterstützt Frauen mit oder ohne Kinder bei der Suche nach eigenem, angemessenem und vor allem bezahlbarem Wohnraum und verkürzt den Frauenhausaufenthalt für Frauen und Kinder, für die kein akuter Schutzbedarf mehr besteht. „So werden die Frauenhäuser in ihrer täglichen Arbeit entlastet, da sie sich nicht mehr um die Wohnungssuche und -belange einer Frau kümmern müssen. Akut von Gewalt bedrohte oder betroffene Frauen können dann die wieder verfügbaren Frauenhausplätze nutzen“, sagte Ministerin Sütterlin-Waack.	
7779	 'Das Hilfetelefon „Gewalt gegen Frauen“ ist rund um die Uhr unter der Nummer 08000/116016 kostenlos erreichbar. Hilfsangebote gibt es auch per Chat oder in einer Onlineberatung unter  (Klicken Sie hier) . Die Beratungen werden in 18 Sprachen sowie in Leichter und Gebärdensprache angeboten.']	
17307	 'Sie haben kein eindeutiges Signal empfangen, aber trotzdem das Gefühl, dass eine Person in deinem Umfeld unter Gewalt leidet? Dann können Sie sich auch an das Beratungstelefon „Gewalt gegen Frauen“ wenden. Dort wird mit Ihnen besprochen, wie Sie vorgehen können.\xa0	
4574	 '• Vollendete vorsätzliche Tötungsdelikte (Mord und Totschlag)\xa0– minus 63\xa0Prozent. Die Fälle von vollendetem Mord und vollendeten Totschlagsdelikten haben zwischen 1993 und 2018 von 1\xa0436 auf 544 abgenommen. Pro 100\xa0000 der Wohnbevölkerung ist das ein Rückgang um 63,0\xa0Prozent.	
10261	 'Gewaltbetroffenen Personen, die mehrere Zyklen durchlaufen, wird oft gesagt: «Es war wohl doch nicht so schlimm, sonst wärst du nicht wieder zurückgegangen!» Wichtig ist hier, dass die Polizei und auch die Gesellschaft das Wissen über den Gewaltzyklus haben und dem Opfer keine Mitschuld übertragen. Sondern die Person klar als Opfer sehen.	
10862	 'Die Gewalt von Partnern oder Ex-Partnern gegen Frauen nimmt zu - doch die Landesregierung hinkt aus Sicht der Landtags-FDP beim Hilfsangebot hoffnungslos hinterher. Seit 2011 mit 10\xa0872 Fällen habe häusliche Gewalt um rund 20 Prozent zugenommen, aber die Kapazität in den Frauen- und Kinderschutzhäusern habe sich seitdem nicht verändert, monierte Nico Weinmann, Vizechef der FDP-Fraktion, die eine entsprechende Anfrage an das Sozialministerium gestellt hatte. Im vergangenen Jahr lag die Zahl der Plätze bei 756 - vor knapp einem Jahrzehnt bei 757. Die derzeit 42 Frauen- und Kinderschutzhäuser werden von den Kommunen, vom Land auf freiwilliger Basis und mit Spenden und Bußgeldern finanziert.	
16027	" 'Paris - Der amerikanische Regisseur Spike Lee wird auf dem Filmfestival in Cannes seinen neuen Film ""BlacKkKlansman"" im Wettbewerb vorstellen. Das teilte die Festivalleitung am Donnerstag in Paris mit. Um die Goldene Palme konkurriert auch der französische Altmeister Jean-Luc Godard mit ""Le Livre d\'image"". Eröffnet wird das 71. Festival von Cannes am 8. Mai mit ""Everbody Knows"" (Todos Lo Saben) des iranischen Regisseurs und Oscarpreisträgers Asghar Farhadi. Der Film mit Penelope Cruz und Javier Bardem läuft ebenfalls im Hauptrennen. Außerhalb des Wettbewerbs stellt Wim Wenders seinen Dokumentarfilm ""Pope Francis. A man of his word"" über Papst Franziskus vor. Vorsitzende der Wettbewerbs-Jury ist die australische Schauspielerin Cate Blanchett. Das Festival dauert bis zum 19. Mai."	
13935	" 'Halle  - Ob Männer oder Frauen, ob 14 Jahre oder 40 Jahre alt - in Sachsen-Anhalt haben im vergangenen Jahr 986 Stalking-Opfer eine Anzeige erstattet. 2017 gab es 1070 Opfer, wie das Landeskriminalamt (LKA) in Magdeburg mitteilte. Aus Sicht von Experten liegt die Dunkelziffer vermutlich weit höher. ""Die Opfer müssen nachweisen, dass sie gestalkt werden"", sagte die Leiterin der Interventionsstelle ""Häusliche Gewalt und Stalking"", Silke Voß, in Halle. Das würde viele Menschen davon abhalten, zur Polizei zu gehen. In ihrer Beratungsstelle suchten nicht nur Frauen, sondern auch Männer und sogar Heranwachsende Hilfe."	
16250	 'Bei Otto Waser handelte es sich laut Fiche um einen «bornierten und zweifellos gefährlichen Kommunisten». Vom Weltjugendfestival in Moskau (1958) ist protokolliert, wem er wann die Hand reichte. Ein früherer Arbeitgeber rapportierte, wie Waser das Servicepersonal dazu angestiftet hatte, kollektiv zu künden. Weitere Einträge führten auf, wer mit ihm 1969 Bundespräsident Tschudi feierte und gegen das Zivilverteidigungsbuch protestierte, 1970 gegen die Todesstrafen an sechs baskischen Freiheitskämpfern demonstrierte und 1971 die Befreiung von Angela Davis forderte.	
6151	 'Die allermeisten betroffenen Frauen können sich direkt nach der Tat nicht entschließen, Anzeige zu erstatten. Aus Scham, aus Angst vor dem Täter, aus ganz verschiedenen Gründen.	
1202	 'WELT: Die Taliban haben behauptet, sie hätten sich geändert, seien moderater geworden. Haben Sie dem jemals Glauben geschenkt?	
20313	" 'Der georgische Tennisprofi Nikolos Bassilaschwili muss sich wegen mutmaßlicher körperlicher Gewalt gegen seine Ex-Frau vor Gericht verantworten. Das teilte die Staatsanwaltschaft in der Hauptstadt Tiflis mit. Demnach sei der 27. der Weltrangliste angeklagt, ""Gewalt gegen ein Familienmitglied in Anwesenheit eines Minderjährigen"" ausgeübt zu haben. Bei einem Schuldspruch drohen ihm bis zu drei Jahre Haft."	
21605	" 'Schon jetzt gebe es erste Insolvenzen, die ""vollmundig angekündigten großzügigen staatlichen Rettungsschirme"" würden mangels staatlicher Einnahmen auf Dauer wohl nicht durchzuhalten sein, sagte Geisel. Hinzu komme wegen der Kontaktverbote bereits eine ""signifikante Zunahme"" von Inobhutnahmen und Betretungsverboten wegen häuslicher Gewalt. Die Schließungen von Schulen und Universitäten brächten das solidarische Miteinander der Generationen in Gefahr. Es sei zu befürchten, dass junge Menschen zunehmend gegen die Maßnahme rebellierten, weil sie sich von den Gefahren der Infektion nicht selbst betroffen fühlten."	
13599	 '# Notizblock	
21758	 'Pedelec-Fahrerin nach Sturz schwer verletzt	
8410	 '* Während Deutschland in seinem Bürokratie-Wahn nicht einmal ein einheitliches Ladenetz für E-Autos hinbekommt, zeigt Tesla-Chef Musk mal wieder, wie man wirklich ganzheitlich denkt.\xa0\xa0 Mit der deutschen Energiewende ist die E-Mobilität auf Crashkurs. Ein Kommentar. Kurioser Fund im Stall - Ein Bauer denkt, seine Henne brütet – dann sieht er genauer hin\xa0']	
19548	 'Und dass in diesen Berufen vor allem Frauen arbeiten. Der zweite Gleichstellungsbericht der Bundesregierung zeigte schon 2017, dass Frauen 87 Prozent des Personals in Pflegediensten und 85 Prozent des Personals in Pflegeheimen stellen. Ähnlich sah es in der Kindererziehung und -betreuung aus. Dringend wurde schon da die Aufwertung der Sorge- und Reproduktionsarbeit angemahnt.	
16026	 'Spike Lee, Godard und Wenders beim Festival in Cannes	
20720	 'Die Geschichte der Schauspielerin, die in ständiger Angst leben muss, hat die feministische Karnevalsgruppe Mulheres brillantes (etwa: Wunderbare Frauen) dazu bewogen, Machado zu ihrer Madrina (Patin) zu machen. Die Gruppe existiert seit etwa zwei Jahren und besteht unter anderem aus Frauen, die Opfer häuslicher Gewalt wurden. Die Gewaltopfer treffen sich wöchentlich, um sich gemeinsam auf den Karneval vorzubereiten. Vor allem aber auch, um unter Gleichgesinnten Erfahrungen auszutauschen und solidarisch zu sein. „Es tut gut, sich zuzuhören und in die Arme zu nehmen“, sagt Machado. „Die Augen der Welt sind in diesen Tagen auf Rio de Janeiro gerichtet. Was wir brauchen, ist ein Bewusstsein für das Verhältnis zwischen Männern und Frauen zu schaffen. Und die Freude, die der Karneval spendet, kann dabei helfen.“ Ziel ist es, Frauen, die in einer ähnlichen Situation leben, Mut zu machen, nicht länger zu schweigen, sondern ihre Peiniger anzuzeigen und dem Kreislauf von häuslicher Gewalt und Unterdrückung auszubrechen. Die Botschaft ihrer Gruppe: „Zusammen sind wir stärker, alleine kann eine Frau so etwas nicht durchstehen.“	
19050	 'Bachmann stoppt den Film bei mehreren Szenen, in denen ein Problem besprochen werden müsste, spürbar etwas ungeklärt ist. Die Freundin entdeckt die gestohlene Tasche und denkt, dass Jonas sie betrügt. Er schafft es nicht, zu sagen, weshalb er die Handtasche besitzt. Er beschwichtigt, streitet ab, lügt.	
2559	 'Cleo träumt weiterhin vom Ende der Pandemie. In der Kita werde nicht über das Virus gesprochen, darüber ist sie ganz froh. Was sie zuerst machen wird, wenn wieder alles öffnet? Bummeln und Kuchenessen in der Stadt, sprudelt es aus ihr raus. Und sie freut sich, wenn der Schwimmkurs in der Kita wieder weitergeht. „Wir durften nur einmal schwimmen gehen. Dann musste der Kurs wegen Corona ausfallen.“']	
971	 'Mit einem Trick gelang ihr die Flucht aus seiner Wohnung in Taufkirchen']	
16870	" 'Mindestens einmal am Tag erleben er und seine Kollegen einen Fall, bei dem es um häusliche Gewalt, also einen tätlichen Angriff mit Körperverletzungen geht. Dass Streit in Familien oder unter Partnern oftmals in der Weihnachtszeit vorkommt, bestätigt Peter. ""Gefühlt mehren sich die Fälle an diesen Tagen. Dieses Jahr war es allerdings erstaunlicherweise ruhig."" Anfang des Jahres hatte dagegen ein Fall für Schlagzeilen gesorgt, bei dem an den Weihnachtstagen zuvor in Königswinter eine Tochter ihre Mutter getötet hatte."	
6215	['Studien Im Jahr 2014 wurde eine europaweite Erhebung der EU-Agentur für Grundrechte veröffentlicht, für die 42\u200a000 Frauen zum Thema sexuelle Gewalt befragt worden waren. Demnach hat jede dritte Frau seit ihrem 15. Lebensjahr körperliche oder sexuelle Gewalt erfahren. Nur jedes dritte Opfer von Gewalt in Partnerschaften und jedes vierte von Gewalt außerhalb der Beziehung meldet einen Übergriff. 43 Prozent der befragten Frauen haben durch Partner psychische Gewalt erlebt. 55 Prozent sind einmalig oder mehrmals sexuell belästigt worden. Sexuelle Belästigung nach der Erhebung reicht von unerwünschten Berührungen über anzügliche Kommentare, durch die sich eine Befragte angegriffen fühlte, bis hin zu sexuell eindeutigen Fotos oder Geschenken. Auf noch mehr Betroffene deutet eine Studie hin, die 2014 das Bundesfamilienministerium in Deutschland in Auftrag gegeben hatte und für die 10\u200a000 Frauen befragt worden waren.	
18134	 'Allein die Bezeichnung ist schon eine Art Mythos: „Häusliche Gewalt“. Tatsächlich ist „häusliche Gewalt“ so wenig „häuslich“ wie die vielen anderen Formen der Gewalt gegen Frauen: Stalking, Vergewaltigung, Unterbesetzung und -bezahlung in „typischen Frauenberufen“, geringere Bezahlung als Männer für gleiche Arbeit, staatlich geförderte Armut alleinerziehender Mütter, indem wir hinnehmen, dass 60 Prozent der getrennt lebenden Väter keinen Cent Unterhalt zahlen. Häusliche Gewalt ist nicht das Verbrechen von Einzelnen. Sie hat viele Täter. Nicht alle schlagen mit Fäusten zu. Die Weltgesundheitsorganisation (WHO) nennt „häusliche Gewalt eine Verletzung der Menschenrechte“. Hauptsächlich der Menschenrechte von Frauen. Der US-Forensiker Evan Stark sagt: „Es geht nicht nur um die Sicherheit und das Leben von Frauen. Es geht in erster Linie um ihre Freiheit.“ Diesen Erkenntnissen zum Trotz hängt die Gesellschaft an den alten Mythen.	
21259	 'Wie sollen Wegweisungen etwa in Quarantänegebieten funktionieren? Wenn ein Gefährder nirgends hin kann?	
12575	 'Der Bundesrat ist einverstanden damit, das Angebot zu verbessern. Die Zuständigkeit für die Errichtung eines solchen Beratungsangebots liege jedoch bei den Kantonen. Wenn diese ein Angebot aufbauen wollten, sei der Bundesrat bereit, eine koordinierende Rolle zu übernehmen, hielt der Bundesrat in seiner Antwort fest.	
8550	 'FEATURE	
11209	 'Das ist zu einem grossen Teil unbewusst. Es gibt niemanden, der sagen würde: Also wir wollen, dass Männer ihre Frauen schlagen. Natürlich nicht. Aber dennoch halten wir alle die Strukturen aufrecht, die solche Gewalt zulassen und auf eine indirekte Weise legitimieren. Ein UNO-Bericht von diesem Jahr hat ergeben, dass ein Drittel der Befragten es okay findet, wenn ein Mann seine Frau schlägt. Gewalt gegen Frauen wird, «gute Gründe» vorausgesetzt, für verständlich und als in Ordnung erachtet. Wir als Gesellschaft rechtfertigen damit Gewalt und machen uns zu Alliierten der Gewalttäter.	
23102	 'Dort, wo schon belastende Situationen vorgelegen hätten, sei Überforderung und Frust während der Pandemie häufiger in Gewalt umgeschlagen, sagte Giffey. Söchting sagte, die Belastungen hätten durch räumliche Enge, Homeoffice und Home-Schooling, Angst vor Jobverlust und fehlende Freiräume zugenommen. Möglichkeiten wie ein Kaffeetrinken bei Freunden, die schwierige Situationen deeskalieren können, seien weggefallen.	
8932	 'Nach und nach kommen jetzt Details der bangen Momente in den Hallen und Gängen des Parlaments ans Tageslicht. Und sie nähren auch im Verteidigungsministerium die Angst vor weiteren Gewalttaten vor oder am 20. Jänner, dem Tag, an dem Joe Biden als 46. US-Präsident angelobt werden soll. Das FBI untersucht derzeit, ob sich hinter dem Sturm auf das Kapitol andere, noch gewalttätigere Pläne verbergen.	
12619	 'Standard: Welche Formen häuslicher Gewalt sind besonders risikobehaftet?	
14582	" 'Die Polizei war zunächst von einer Anwohnerin gerufen worden, weil eine Frau vor einem Haus in Erbach nach Hilfe gerufen habe. Kurz zuvor hatte es an der Adresse bereits einen Einsatz wegen häuslicher Gewalt gegeben. Vor Ort seien die beiden Streifenbesatzungen unmittelbar von etwa zehn Menschen ""feindselig empfangen und bedroht"" worden, hieß es in der Mitteilung. Die Polizei setzte Pfefferspray ein, zudem fiel der Schuss. Bei der Auseinandersetzung wurde ein Mann leicht verletzt, er und vier weitere wurden vorläufig festgenommen. Weitere Details waren zunächst nicht bekannt."	
20413	 'Die Polizei wurde in der Zeit des Corona-Shutdowns in Potsdam häufiger als im Vergleichszeitraum des Vorjahres wegen häuslicher Gewalt gegen Frauen und Kinder alarmiert. Das hat Stefanie Wagner-Leppin, die Sprecherin der zuständigen Polizeidirektion West, auf MAZ-Anfrage bekannt gegeben.	
14372	 'Der Ausschluss aus dem Europarat und die eilfertig von russischen Politikern angekündigte schnelle Kündigung der EMRK und anderer Vereinbarungen werden sich ohne Zweifel auf die russische Bevölkerung auswirken. Das stärkste Argument gegen den immer wieder in Strassburg erörterten Ausstieg Russlands aus der Organisation war stets der Zugang zum EGMR.	
13805	['Das Schweizer Sexualstrafrecht muss revidiert werden. Das fordern 22 Strafrechtsprofessoren.	
19568	 'Wie erfahren Sie derzeit von Verdachtsfällen?	
15669	" '""Es wurden keine Verletzungen an ihr festgestellt"""	
7339	 'Im Bereich häuslicher Gewalt, die sich in den meisten Fällen gegen Frauen und Kinder richtet, wird die Dunkelziffer von Experten genrell als hoch eingeschätzt. Bereits Ende März hatte der Europarat auf Frankreich verwiesen, wo viele Frauen wegen der Beschränkungen keine Notrufstellen anrufen könnten.	
10815	 'Nach Angaben des Frauenministeriums hatten zuletzt alle bis auf zwei der Einrichtungen angezeigt, noch über freie Plätze zu verfügen. Obwohl die Gewalt innerhalb der Familien deutlich zunahm, habe es „seit der Pandemie bis dato keine überdurchschnittlichen Aufnahmen von Frauen in den Brandenburger Schutzeinrichtungen“ gegeben, heißt es in der Stellungnahme der Landesregierung.	
23222	 '„Das kenne ich von zu Hause, ist doch ganz normal“ – auch solche Sätze hören Seifert und Hagemann immer wieder. Sie versuchen dann abseits der Gruppe nachzuhaken: Wird zu Hause viel gestritten? Schreit dabei jemand, schlägt, wirft mit Gegenständen? Erlebt das Kind Gewalt, möglicherweise sogar am eigenen Körper? Die Pädagog:innen müssen dann abwägen: Droht den Kindern akute Gefahr, muss die Schule direkt das Jugendamt einschalten. Meist wird aber erst einmal ein Gespräch mit den Eltern angebahnt.	
22124	['Es rumort gewaltig zwischen den Vertreterinnen der Frauenhilfe und der zuständigen Senatsverwaltung für Gleichstellung. Im Haushalt gibt es zwar mehr Geld für den Schutz von Opfern häuslicher Gewalt. Aber an der Praxis vorbei, sagen die Akteurinnen	
9652	 'Paten für ein Stück Blumenwiese gesucht	
22532	 'Sturm und Schnee in Spanien	
8729	" 'Frankreichs Präsident Macron erklärte, die Polizisten hätten ""ihr Leben eingesetzt"", um eine Frau zu retten, die ""Opfer von Gewalt in der Ehe"" geworden sei. ""Sie sind unsere Helden"", schrieb Macron über die Gendarmen auf Twitter."	
2222	 'Schon Ende vergangenen Jahres ist ein weiteres Buch erschienen, in dem es um Gewalt gegen Frauen geht: „Politische Männlichkeit: Wie Incels, Fundamentalisten und Autoritäre für das Patriarchat mobilmachen“ von Susanne Kaiser. Kaiser holt wesentlich weiter aus, sie beschreibt Incels, Amerikas zornige weiße Männer und häusliche Gewalt, den gemeinsamen Nenner findet sie in gekränkten Besitzansprüchen, bloß eben nicht wie bei Backes und Bettoni auf einer persönlichen Ebene, sondern als gesellschaftliches Phänomen. Kaiser sieht in Anschlägen auf Frauen Akte politischer Gewalt. Die sogenannten Incels, die „involuntary celibates“, sind eine lose Gruppierung heterosexueller Männer, die sich im Internet zusammenfinden - in den drei wichtigsten amerikanischen Foren sollen dem kanadischen Fernsehen zufolge 60 000 aktiv sein. Die Grenzen zum Rechtsradikalismus sind bei den Incels fließend, vor allem aber finden sie, die Gesellschaft habe ihnen Frauen vorenthalten, auf die sie einen Anspruch hatten. So wie es die Männer der Überlebenden in „Alle drei Tage“ auch sehen.	
10575	 'Spanien will Quarantäne für Einreise schon eher aufheben	
6315	 'Die Corona-Krise hat nach Angaben des bayerischen Landeskriminalamtes (LKA) bislang nicht zu mehr bekannten Fällen häuslicher Gewalt geführt - entgegen anders lautenden Befürchtungen. „Vermutungen, dass die Corona-Krise das Problem häuslicher Gewalt verschärfen könnte, weil zerstrittene Eheleute oder Partner nun viel Zeit gemeinsam zu Hause verbringen, bestätigen sich zumindest bislang nicht“, teilte das LKA am Dienstag in München mit. Die Fallzahlen bei häuslicher Gewalt seien „in diesem Jahr unauffällig und teilweise sogar rückläufig“. Allerdings lägen „abschließend belastbare Zahlen dazu“ noch nicht vor.	
10977	['Erste Zahlen aus Niederösterreich bestätigen die Befürchtungen. Gewaltschutzzentren verzeichneten enormen Zulauf.	
19802	 'Jetzt haben sich die zwei Regierungsbeauftragten für Opfer von Kriminalität und häuslicher Gewalt in England zusammengetan. In einer Online-Sitzung des Innenausschusses im Parlament warnten sie: Die steigende Zahl ermordeter Frauen sei das Sinnbild dieser Krise. Sie fordern, die Zeitspanne zu verlängern, in der Opfer die Täter anzeigen könnten. Nach britischem Gesetz muss das innerhalb von sechs Monaten geschehen. Aber viele Frauen, hiess es im Innenausschuss, riefen in der aktuellen Lage nicht die Polizei. «Weil sie gefangen seien in ihrer Situation.»	
1108	 'Sie beschreiben Ihre Beratung als „proaktiv“, was heißt das genau?	
